id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
428,Son Heung-min,116,MID,Spurs,4,3,3.0,False,0.12,4,0,0,42,1,20,3.5,3.0,,2022-11-02T00:00:07.969471Z,0.38,21,6.8,-4,1,2346,595.0,471.3,1728,17,4.93,18,5.8,5340,0,1.46,7.28,100.0,3.8,23,2.36,79,31,0,21,3.5,0,3,85,7,100.0,28,2911041,0.26,39,1.22,12,0.0,5,Son,3,0,2,1.04,223,143.0,0.36,102,1.0,3.0,15,1254967,a,0,60,366.4,23.52,0.3,74
429,Matt Doherty,46,DEF,Spurs,1,2,0.0,False,0.04,4,0,0,53,0,7,0.0,,Contract ended,2023-01-31T23:14:10.773738Z,0.14,231,7.6,-4,1,0,146.0,110.5,663,43,0.74,93,0.5,2994,0,1.22,1.05,0.0,2.9,185,0.27,35,100,0,165,0.0,0,55,171,3,0.0,9,234532,0.1,239,1.17,24,0.0,334,Doherty,0,0,0,0.95,147,40.3,0.41,658,,,72,198746,u,0,253,147.0,8.61,0.0,255
430,Eric Dier,51,DEF,Spurs,2,1,2.8,False,0.02,-1,0,0,42,2,21,3.3,2.0,,,0.07,92,13.5,1,0,1562,217.0,89.5,1914,56,1.09,22,5.9,10194,0,1.46,1.48,,3.1,207,0.39,69,5,0,107,3.3,0,20,149,7,,31,1255679,0.05,37,1.26,10,0.0,179,Dier,0,0,-1,0.99,409,77.7,0.33,104,,,12,1422295,a,0,58,470.8,26.86,0.5,35
431,Lucas Rodrigues Moura da Silva,58,MID,Spurs,0,0,0.0,False,0.11,2,0,0,232,0,0,0.5,,,2022-12-22T16:30:08.557874Z,0.19,413,1.4,-2,0,102,26.0,19.7,93,189,0.09,138,0.1,65,0,0.97,0.20,100.0,1.0,376,0.11,8,185,0,354,0.5,0,41,504,0,100.0,1,41447,0.09,317,0.46,171,0.0,80,Lucas Moura,0,0,0,0.0,28,6.9,0.0,732,,,186,12474,a,0,388,23.4,0.48,0.0,416
432,Ben Davies,48,DEF,Spurs,2,1,4.2,False,0.07,2,0,0,25,2,16,4.7,,,2022-12-20T01:00:07.492361Z,0.12,135,14.2,-2,0,1242,121.0,184.5,1438,25,0.85,60,1.1,1226,0,1.38,1.92,100.0,3.4,122,1.08,68,38,0,182,4.7,0,42,112,6,100.0,22,199287,0.05,18,1.07,30,0.0,278,Davies,2,0,3,1.0,329,61.2,0.38,51,,,26,210659,a,0,170,305.2,17.06,0.9,115
433,Pierre-Emile Højbjerg,55,MID,Spurs,4,10,3.2,False,0.1,0,0,0,30,2,22,3.7,,,2022-10-23T21:00:08.232518Z,0.16,44,16.0,0,2,3447,186.0,333.0,1961,41,1.47,39,2.3,4890,0,1.51,3.58,100.0,4.0,48,2.12,88,6,0,127,3.7,0,60,64,7,100.0,33,613175,0.07,34,1.23,81,0.0,114,Højbjerg,3,0,2,1.01,421,106.2,0.32,85,,,32,704103,a,0,112,542.0,26.85,0.6,16
434,Harry Winks,44,MID,Spurs,0,0,0.0,False,0.0,1,0,0,250,0,0,0.0,,Season-long loan to Sampdoria,2022-08-31T07:21:07.937920Z,0.0,625,0.0,-1,0,0,0.0,0.0,0,246,0.00,75,0.6,234,0,0.0,0.00,0.0,0.0,615,0.00,0,242,0,590,0.0,0,269,632,0,0.0,0,215284,0.0,199,0.0,232,0.0,488,Winks,0,0,0,0.0,0,0.0,0.0,548,,,245,64152,u,0,235,0.0,0.00,0.0,620
435,Davinson Sánchez,43,DEF,Spurs,0,1,0.5,False,0.03,2,0,0,127,1,6,1.0,,,,0.08,317,5.1,-2,0,86,48.0,25.6,566,121,0.33,88,0.6,259,0,1.43,0.51,,1.7,352,0.19,22,105,0,283,1.0,0,147,340,2,,9,113049,0.05,109,1.17,85,0.0,559,Sánchez,0,0,1,0.95,112,20.6,0.32,313,,,110,75122,a,0,243,132.4,7.34,0.1,266
436,Ryan Sessegnon,44,DEF,Spurs,2,0,0.5,False,0.12,1,0,0,99,4,9,1.0,,Hamstring injury - 25% chance of playing,2023-02-13T10:00:09.080334Z,0.31,159,8.0,-1,0,59,290.0,103.0,805,47,1.64,79,0.7,1074,0,1.68,2.76,25.0,2.1,192,1.10,35,98,0,74,0.2,0,111,272,1,100.0,15,299527,0.18,111,1.17,2,0.0,493,R.Sessegnon,1,0,0,1.01,121,54.3,0.11,315,,,38,264064,d,0,222,148.6,10.48,0.1,253
437,Steven Bergwijn,55,MID,Spurs,0,0,0.0,False,0.0,0,0,0,321,0,0,0.0,,Transferred to Ajax,2022-07-08T11:00:04.174761Z,0.0,742,0.0,0,0,0,0.0,0.0,0,321,0.00,312,0.0,0,0,0.0,0.00,0.0,0.0,742,0.00,0,321,0,741,0.0,0,61,742,0,0.0,0,210,0.0,314,0.0,320,0.0,117,Bergwijn,0,0,0,0.0,0,0.0,0.0,727,,,321,0,u,0,730,0.0,0.00,0.0,742
438,Sergio Reguilón,42,DEF,Spurs,0,0,0.0,False,0.0,3,0,0,233,0,0,0.0,,Season-long loan to Atletico Madrid,2022-08-31T07:21:07.922198Z,0.0,608,0.0,-3,0,0,0.0,0.0,0,228,0.00,112,0.3,62,0,0.0,0.00,0.0,0.0,594,0.00,0,232,0,558,0.0,0,171,619,0,0.0,0,207184,0.0,197,0.0,222,0.0,600,Reguilón,0,0,0,0.0,0,0.0,0.0,502,,,230,17585,u,0,308,0.0,0.00,0.0,605
439,Japhet Tanganga,39,DEF,Spurs,0,0,0.2,False,0.01,1,0,0,150,0,2,0.7,,,,0.01,449,0.5,-1,0,554,0.0,6.2,141,147,0.00,41,2.5,1414,0,3.19,0.01,,1.0,422,0.01,2,155,0,465,0.7,0,237,424,0,,5,367284,0.0,128,2.14,169,0.0,719,Tanganga,0,0,1,1.28,26,3.0,0.0,374,,,157,236655,a,0,108,24.4,3.36,0.1,413
440,Rodrigo Bentancur,54,MID,Spurs,5,7,3.0,False,0.04,1,0,0,32,8,17,3.5,,Knee injury - Expected back 13 Aug,2023-02-11T19:00:09.422201Z,0.18,69,13.1,-1,2,344,236.0,180.2,1501,85,2.26,105,0.3,2193,0,1.44,2.94,0.0,3.9,126,0.68,71,12,0,94,0.0,0,72,70,6,100.0,24,122513,0.14,37,1.18,61,0.0,137,Bentancur,2,0,6,1.02,342,90.7,0.36,97,,,50,105653,i,0,304,489.6,19.71,0.6,28
441,Oliver Skipp,43,MID,Spurs,0,0,0.0,False,0.05,2,0,0,182,2,3,0.5,,,2022-12-22T16:00:08.503331Z,0.08,398,2.1,-2,0,36,19.0,45.8,195,156,0.06,159,0.1,83,0,1.38,0.17,100.0,1.1,296,0.11,9,193,0,375,0.5,0,298,413,1,100.0,3,19082,0.03,190,1.08,183,0.0,566,Skipp,0,0,0,1.38,32,8.4,0.46,530,,,177,13252,a,0,443,19.6,2.34,0.0,429
442,Joe Rodon,40,DEF,Spurs,0,0,0.0,False,0.0,0,0,0,205,0,0,0.0,,Joined Rennes on loan - Expected back 01 Jul,2022-08-02T11:00:06.051540Z,0.0,561,0.0,0,0,0,0.0,0.0,0,199,0.00,204,0.0,5,0,0.0,0.00,0.0,0.0,548,0.00,0,203,0,501,0.0,0,196,574,0,0.0,0,7701,0.0,159,0.0,185,0.0,655,Rodon,0,0,0,0.0,0,0.0,0.0,445,,,200,0,u,0,552,0.0,0.00,0.0,559
