id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
3,Granit Xhaka,49,MID,Arsenal,3,7,2.2,False,0.14,1,0,0,28,3,21,4.4,3.0,,,0.25,31,16.9,-1,1,1451,322.0,492.7,1786,13,2.09,33,2.8,4917,0,0.91,4.94,,4.0,17,2.85,83,20,0,62,2.7,0,138,62,8,,18,697905,0.11,58,1.02,40,0.0,239,Xhaka,5,0,2,1.06,362,124.1,0.4,144,,,22,826093,a,0,100,425.2,20.26,0.4,49
4,Mohamed Elneny,41,MID,Arsenal,0,0,0.0,False,0.03,4,0,0,176,0,1,0.0,,Knee injury - Unknown return date,2023-01-26T10:00:07.778526Z,0.03,474,1.5,-4,1,260,0.0,5.4,111,209,0.00,68,0.7,1471,0,1.62,0.04,0.0,1.2,425,0.04,6,214,0,549,0.0,0,321,401,0,0.0,2,263028,0.0,182,1.05,220,0.0,624,Elneny,0,0,0,0.81,27,1.1,0.0,493,,,218,196784,i,0,218,4.6,1.29,0.0,469
5,Rob Holding,42,DEF,Arsenal,0,0,0.2,False,0.0,3,0,0,162,0,0,0.4,,,,0.0,497,1.4,-3,0,30,0.0,0.1,16,176,0.00,162,0.1,59,0,0.0,0.00,,1.0,486,0.00,6,170,0,556,0.7,0,169,436,0,,0,17969,0.0,129,1.58,221,0.0,597,Holding,0,0,0,0.0,20,0.3,0.0,376,,,175,6957,a,0,433,3.4,0.28,0.0,477
6,Thomas Partey,47,MID,Arsenal,2,5,1.5,False,0.06,3,0,0,63,2,18,3.0,,,2023-01-28T00:00:07.896749Z,0.15,87,12.1,-3,0,659,172.0,293.1,1540,51,1.63,85,0.5,562,0,0.64,2.59,100.0,3.2,61,0.95,57,38,0,141,2.0,0,191,133,9,100.0,11,126026,0.1,93,1.02,89,0.0,314,Partey,0,0,3,1.05,286,80.9,0.53,212,,,60,99150,a,0,262,342.8,17.46,0.3,90
7,Martin Ødegaard,70,MID,Arsenal,8,18,2.2,True,0.25,-5,0,0,3,3,20,4.4,1.0,,2022-09-18T20:00:06.315087Z,0.55,11,17.3,5,4,38733,586.0,638.7,1688,7,5.58,2,37.5,34691,0,0.91,10.27,100.0,6.0,8,4.66,121,7,0,22,2.7,0,20,7,8,100.0,17,2529808,0.3,60,1.05,13,0.0,41,Ødegaard,6,0,2,1.07,456,176.0,0.43,148,3.0,,7,4992939,a,0,5,533.2,19.69,0.3,18
8,Kieran Tierney,46,DEF,Arsenal,0,0,0.0,False,0.05,4,0,0,139,0,4,0.0,,,2022-09-26T13:00:06.430643Z,0.1,340,4.8,-4,0,118,45.0,57.1,458,80,0.26,75,0.7,540,0,0.98,0.51,100.0,1.5,268,0.26,22,134,0,293,0.5,0,58,367,1,100.0,5,144248,0.05,240,0.82,92,0.0,338,Tierney,0,0,0,0.79,93,17.6,0.2,659,,,120,74697,a,0,205,73.4,4.16,0.0,329
9,Nicolas Pépé,53,MID,Arsenal,0,0,0.0,False,0.0,2,0,0,318,0,0,0.0,,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,0.0,736,0.0,-2,0,0,0.0,0.0,0,318,0.00,156,0.1,14,0,0.0,0.00,0.0,0.0,733,0.00,0,318,0,731,0.0,0,87,736,0,0.0,0,36555,0.0,308,0.0,317,0.0,157,Pépé,0,0,0,0.0,0,0.0,0.0,715,,,318,5198,u,0,438,0.0,0.00,0.0,735
10,Benjamin White,47,DEF,Arsenal,0,9,1.0,False,0.1,-2,0,0,11,4,21,2.0,,,,0.12,117,18.7,2,0,6932,55.0,281.6,1683,9,0.31,10,13.5,11328,0,0.75,2.24,,4.2,70,1.93,88,29,0,269,1.5,0,51,50,10,,14,1236100,0.02,94,1.03,79,0.0,319,White,2,0,2,1.12,410,67.4,0.53,259,,,21,2046751,a,0,27,337.6,19.24,0.2,95
11,Eddie Nketiah,68,FWD,Arsenal,4,5,4.2,False,0.06,2,0,0,30,1,7,8.4,,,,0.65,98,6.8,-2,1,15929,492.0,83.6,771,30,5.09,6,11.9,36469,0,0.93,5.61,,2.4,221,0.52,46,20,0,27,4.7,0,21,228,2,,8,419183,0.59,7,1.22,13,0.0,48,Nketiah,0,0,2,0.82,134,75.8,0.23,52,,,18,1630396,a,0,34,186.6,10.47,0.6,217
12,Emile Smith Rowe,56,MID,Arsenal,0,0,0.0,False,0.36,4,0,0,231,0,0,0.0,,Thigh injury - 25% chance of playing,2023-02-03T10:30:09.166437Z,0.52,414,0.9,-4,0,15,18.0,36.7,48,167,0.09,99,0.4,164,0,1.88,0.28,25.0,1.0,319,0.19,5,196,0,380,0.1,0,52,503,0,25.0,1,148363,0.17,315,1.12,186,0.0,98,Smith Rowe,0,0,0,0.0,21,6.8,0.0,729,,,187,25546,d,0,290,15.8,0.60,0.0,436
13,Bukayo Saka,83,MID,Arsenal,7,10,4.2,True,0.18,-3,0,0,7,4,21,8.4,,,2023-01-13T15:00:07.612275Z,0.51,6,14.1,3,3,72176,668.0,697.1,1804,5,6.57,5,31.1,10103,0,0.9,10.27,100.0,5.6,6,3.66,117,4,0,15,4.7,0,6,12,8,100.0,18,2998208,0.33,22,1.01,8,0.0,14,Saka,9,0,6,1.05,409,193.1,0.4,54,2.0,1.0,4,4132318,a,0,9,565.6,20.34,0.5,14
14,Takehiro Tomiyasu,42,DEF,Arsenal,0,0,1.2,False,0.04,3,0,0,120,1,4,2.4,,,2022-12-20T01:00:06.978218Z,0.05,305,6.7,-3,0,182,30.0,71.5,502,71,0.08,86,0.6,548,0,1.25,0.28,100.0,1.8,244,0.20,28,109,0,337,1.7,0,177,322,2,100.0,7,212437,0.01,81,1.06,116,0.0,607,Tomiyasu,1,0,0,0.72,152,22.0,0.36,236,,,106,86348,a,0,241,119.6,5.94,0.3,276
15,Aaron Ramsdale,49,GKP,Arsenal,0,6,1.5,False,0.0,1,0,0,9,0,21,3.0,,,2022-08-31T22:30:06.428076Z,0.0,240,17.6,-1,1,8471,0.0,0.0,1890,73,0.00,5,12.1,9051,0,0.86,0.02,100.0,4.1,719,0.02,86,17,48,711,2.0,0,10,55,9,100.0,18,1648775,0.0,20,1.01,70,2.29,259,Ramsdale,0,0,2,1.0,377,37.7,0.43,213,,,17,1332829,a,0,33,376.0,21.14,0.3,68
16,Gabriel dos Santos Magalhães,52,DEF,Arsenal,2,9,1.2,False,0.02,-2,0,0,9,4,21,2.4,,,,0.16,101,17.3,2,1,7204,252.0,48.7,1890,90,2.95,9,13.8,13360,0,0.86,3.27,,4.3,288,0.35,90,8,0,85,1.7,0,19,45,9,,18,1515705,0.14,83,1.01,5,0.0,173,Gabriel,0,0,2,1.0,426,75.3,0.43,239,,,15,2013942,a,0,25,452.2,21.14,0.2,41
17,Nuno Varela Tavares,45,DEF,Arsenal,0,0,0.0,False,0.0,0,0,0,246,0,0,0.0,,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,0.0,663,0.0,0,0,0,0.0,0.0,0,246,0.00,235,0.0,2,0,0.0,0.00,0.0,0.0,658,0.00,0,246,0,638,0.0,0,88,669,0,0.0,0,1965,0.0,234,0.0,245,0.0,399,Tavares,0,0,0,0.0,0,0.0,0.0,602,,,246,0,u,0,668,0.0,0.00,0.0,660
19,Gabriel Martinelli Silva,66,MID,Arsenal,7,7,1.5,False,0.22,-6,0,0,12,2,21,3.0,2.0,,,0.45,8,16.1,6,2,6771,833.0,507.6,1728,11,4.53,3,36.9,93758,0,0.83,8.67,,5.0,15,4.19,106,17,0,8,2.0,0,28,20,10,,16,4259040,0.24,97,0.99,3,0.0,55,Martinelli,5,0,3,1.09,337,176.9,0.52,219,1.0,2.0,6,5688180,a,0,6,429.0,19.01,0.2,45
20,Pablo Marí Villar,45,DEF,Arsenal,0,0,0.0,False,0.0,0,0,0,243,0,0,0.0,,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,0.0,644,0.0,0,0,0,0.0,0.0,0,242,0.00,225,0.0,3,0,0.0,0.00,0.0,0.0,636,0.00,0,243,0,616,0.0,0,65,650,0,0.0,0,4154,0.0,227,0.0,240,0.0,352,Pablo Marí,0,0,0,0.0,0,0.0,0.0,576,,,243,162,u,0,624,0.0,0.00,0.0,639
22,Lucas Torreira di Pascua,45,MID,Arsenal,0,0,0.0,False,0.0,0,0,0,265,0,0,0.0,,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,0.0,651,0.0,0,0,0,0.0,0.0,0,262,0.00,166,0.1,17,0,0.0,0.00,0.0,0.0,643,0.00,0,258,0,623,0.0,0,209,657,0,0.0,0,38897,0.0,222,0.0,252,0.0,373,Torreira,0,0,0,0.0,0,0.0,0.0,585,,,261,2811,u,0,456,0.0,0.00,0.0,646
23,Reiss Nelson,47,MID,Arsenal,2,3,0.0,False,0.21,3,0,0,1,0,0,0.0,,Lack of match fitness - 25% chance of playing,2022-12-22T15:30:07.123983Z,1.1,321,4.3,-3,1,2,79.0,31.0,64,173,0.63,225,0.0,27,0,0.0,0.78,25.0,10.0,340,0.15,20,128,0,230,0.1,0,195,1,1,25.0,0,14520,0.89,271,0.55,126,0.0,321,Nelson,1,0,0,0.0,53,20.1,1.41,667,,,144,12741,d,0,570,90.8,0.39,0.0,308
24,Matt Turner,38,GKP,Arsenal,0,0,0.0,False,0.0,2,0,0,33,0,0,0.0,,,2022-10-27T22:30:07.060057Z,0.0,515,0.0,-2,0,505,0.0,0.0,0,14,0.00,25,1.3,1092,1,0.0,0.00,100.0,0.0,497,0.00,0,33,0,447,0.5,0,78,527,0,100.0,0,187082,0.0,25,0.0,4,0.0,743,Turner,0,-1,0,0.0,0,0.0,0.0,391,,,33,188750,a,0,158,0.0,0.00,0.0,513
25,Fábio Ferreira Vieira,56,MID,Arsenal,1,2,0.5,False,0.25,4,0,0,111,0,1,1.0,,,2022-08-04T15:00:05.309562Z,0.37,315,4.6,-4,1,86,73.0,63.1,268,141,0.33,144,0.1,87,0,0.34,1.09,100.0,2.2,255,0.75,26,137,0,237,1.0,0,54,264,2,100.0,1,29987,0.11,142,0.69,130,0.0,102,Fábio Vieira,1,0,1,0.34,73,21.0,0.67,320,,,142,19461,a,0,408,74.4,2.05,0.1,328
26,William Saliba,53,DEF,Arsenal,2,13,1.2,True,0.01,-8,0,0,5,4,21,2.4,,,,0.05,142,17.9,8,2,18753,103.0,66.7,1875,72,0.89,2,35.4,23795,0,0.86,1.08,,4.5,248,0.21,95,13,0,201,1.7,1,17,38,9,,18,2189772,0.04,84,1.01,40,0.0,165,Saliba,1,0,2,1.01,435,59.1,0.43,240,,,31,5212199,a,0,8,420.0,21.10,0.2,51
27,Marcus Oliveira Alencar,46,MID,Arsenal,0,0,0.0,False,0.0,4,0,0,213,0,0,0.0,,Season-long loan to Norwich City,2023-01-31T13:56:28.318276Z,0.0,713,0.2,-4,0,0,0.0,0.2,1,238,0.00,174,0.1,71,0,0.0,0.00,0.0,1.0,483,0.00,1,300,0,694,0.0,0,203,478,0,0.0,0,14314,0.0,267,0.0,294,0.0,342,Marquinhos,0,0,0,0.0,3,0.0,0.0,660,,,300,7000,u,0,469,0.0,0.00,0.0,712
28,Gabriel Fernando de Jesus,79,FWD,Arsenal,5,7,0.0,False,0.13,1,0,0,5,4,14,0.0,,Knee injury - Expected back 25 Feb,2022-12-04T08:30:06.137006Z,0.71,15,8.7,-1,1,345,884.0,281.1,1220,4,7.91,5,25.9,16931,0,0.81,9.63,0.0,4.9,71,1.73,69,7,0,6,0.0,0,12,25,7,0.0,11,7722743,0.58,91,0.85,4,0.0,21,Jesus,6,0,0,1.03,219,154.4,0.52,743,,,5,2821744,i,0,15,378.0,11.46,0.0,67
111,Leandro Trossard,67,MID,Arsenal,8,5,2.0,False,0.15,-2,0,0,15,1,16,4.0,,,2023-01-08T00:00:08.175796Z,0.49,16,13.6,2,2,11649,737.0,372.0,1383,35,5.31,14,7.9,10107,0,1.63,7.54,100.0,4.8,42,2.26,91,18,0,10,2.5,0,25,29,4,100.0,25,4044066,0.35,76,1.37,4,0.0,50,Trossard,3,0,6,1.04,283,153.7,0.26,179,4.0,,10,4536309,a,0,46,428.4,20.99,0.3,47
130,Jorge Luiz Frello Filho,58,MID,Arsenal,2,5,1.0,False,0.03,2,0,0,82,4,15,2.0,,,2022-11-09T23:00:08.006806Z,0.15,188,8.6,-2,1,646,78.0,135.8,1308,107,1.72,43,2.0,2095,0,0.89,2.17,100.0,2.6,161,0.44,50,67,0,234,1.5,0,40,199,6,100.0,13,572323,0.12,125,1.14,128,0.0,79,Jorginho,0,0,0,1.03,240,47.9,0.41,275,,,100,428457,a,0,125,264.4,16.58,0.2,154
313,Oleksandr Zinchenko,51,DEF,Arsenal,0,5,1.0,False,0.11,-1,0,0,17,2,13,2.0,,,2022-12-20T01:00:07.388064Z,0.18,183,10.4,1,1,11057,117.0,191.2,1081,22,0.84,15,9.1,4713,0,0.75,2.13,100.0,3.8,117,1.29,53,83,0,188,1.5,0,23,76,6,100.0,9,3124581,0.07,96,1.07,34,0.0,189,Zinchenko,1,0,2,1.08,246,49.2,0.5,266,,,47,2099338,a,0,42,183.8,12.89,0.2,219
607,Matthew Smith,45,MID,Arsenal,0,0,0.0,False,0.0,0,0,0,270,0,0,0.0,,,,0.0,658,0.0,0,0,55,0.0,0.0,0,267,0.00,172,0.1,94,0,0.0,0.00,,0.0,650,0.00,0,264,0,631,0.5,0,215,664,0,,0,11230,0.0,227,0.0,257,0.0,387,Smith,0,0,0,0.0,0,0.0,0.0,593,,,266,13173,a,0,466,0.0,0.00,0.0,654
630,Ethan Nwaneri,45,MID,Arsenal,0,0,0.0,False,0.0,0,0,0,209,0,0,0.0,,,,0.0,689,0.2,0,0,9,0.0,0.0,1,283,0.00,269,0.0,13,0,0.0,0.00,,1.0,683,0.00,1,281,0,666,0.5,0,240,473,0,,0,966,0.0,248,0.0,274,0.0,437,Nwaneri,0,0,0,0.0,3,0.0,0.0,634,,,282,1158,a,0,660,0.0,0.00,0.0,687
631,Lino Sousa,40,DEF,Arsenal,0,0,0.0,False,0.0,0,0,0,228,0,0,0.0,,,,0.0,596,0.0,0,0,57,0.0,0.0,0,222,0.00,179,0.1,92,0,0.0,0.00,,0.0,583,0.00,0,226,0,538,0.5,0,222,609,0,,0,5720,0.0,184,0.0,210,0.0,693,Sousa,0,0,0,0.0,0,0.0,0.0,482,,,223,7063,a,0,480,0.0,0.00,0.0,594
655,Karl Hein,40,GKP,Arsenal,0,0,0.0,False,0.0,0,0,0,66,0,0,0.0,,,,0.0,582,0.0,0,0,35,0.0,0.0,0,52,0.00,64,0.0,30,0,0.0,0.00,,0.0,569,0.00,0,66,0,523,0.5,0,54,595,0,,0,1375,0.0,61,0.0,42,0.0,677,Hein,0,0,0,0.0,0,0.0,0.0,467,,,66,1968,a,0,628,0.0,0.00,0.0,580
668,Amario Cozier-Duberry,45,MID,Arsenal,0,0,0.0,False,0.0,0,0,0,292,0,0,0.0,,,,0.0,697,0.0,0,0,11,0.0,0.0,0,290,0.00,309,0.0,8,0,0.0,0.00,,0.0,691,0.00,0,288,0,674,0.5,0,249,701,0,,0,79,0.0,255,0.0,281,0.0,447,Cozier-Duberry,0,0,0,0.0,0,0.0,0.0,642,,,289,113,a,0,727,0.0,0.00,0.0,695
685,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,0,0.0,False,0.0,0,0,0,78,0,0,0.0,,Season-long loan to Accrington Stanley,2023-01-31T23:21:06.874787Z,0.0,671,0.0,0,0,0,0.0,0.0,0,77,0.00,91,0.0,30,0,0.0,0.00,0.0,0.0,666,0.00,0,75,0,647,0.0,0,75,677,0,0.0,0,525,0.0,66,0.0,76,0.0,411,Butler-Oyedeji,0,0,0,0.0,0,0.0,0.0,610,,,76,735,u,0,672,0.0,0.00,0.0,668
710,Jakub Kiwior,40,DEF,Arsenal,0,0,0.0,False,0.0,0,0,0,212,0,0,0.0,,,,0.0,572,0.0,0,0,32,0.0,0.0,0,206,0.00,238,0.0,36,0,0.0,0.00,,0.0,559,0.00,0,210,0,513,0.5,0,204,585,0,,0,162,0.0,167,0.0,193,0.0,667,Kiwior,0,0,0,0.0,0,0.0,0.0,457,,,207,474,a,0,675,0.0,0.00,0.0,570
29,Philippe Coutinho Correia,66,MID,Aston Villa,0,0,1.0,False,0.08,4,0,0,174,3,6,0.0,1.0,,2022-11-06T22:00:07.260981Z,0.23,222,3.6,-4,0,597,201.0,139.7,716,103,1.17,30,3.1,828,0,0.88,1.83,100.0,1.3,156,0.65,24,136,0,119,0.5,0,27,398,3,100.0,7,1450401,0.15,126,0.89,73,0.0,52,Coutinho,0,0,1,0.75,71,41.4,0.38,279,5.0,2.0,109,216372,a,0,95,75.2,7.07,0.2,325
31,Emiliano Martínez Romero,49,GKP,Aston Villa,0,5,4.0,False,0.01,1,0,1,20,3,20,3.0,,,2022-12-22T11:30:06.973162Z,0.01,176,13.3,-1,1,3006,0.0,23.0,1744,2,0.00,14,4.2,3763,0,1.39,0.20,100.0,3.2,364,0.20,65,10,55,708,3.5,0,9,134,4,100.0,27,741791,0.0,8,1.36,69,2.84,245,Martínez,0,0,2,1.03,351,50.9,0.21,58,,,9,526902,a,0,75,485.8,26.30,0.8,29
32,Calum Chambers,42,DEF,Aston Villa,0,0,0.3,False,0.0,3,0,0,159,1,2,-0.7,,,2022-10-02T21:00:06.977430Z,0.02,440,1.2,-3,0,55,1.0,1.2,198,163,0.05,141,0.2,58,0,1.82,0.05,100.0,1.0,452,0.00,5,148,0,441,-0.2,0,166,433,0,100.0,4,25025,0.02,120,2.01,160,0.0,593,Chambers,0,0,1,0.91,29,4.0,0.0,329,,,154,8832,a,0,377,38.8,4.42,0.1,387
33,Lucas Digne,46,DEF,Aston Villa,1,4,-0.3,False,0.08,4,0,0,94,3,15,-1.3,4.0,,2023-01-14T08:00:07.869716Z,0.1,162,7.6,-4,1,495,87.0,228.9,1169,14,0.26,53,1.4,1143,0,1.69,1.28,100.0,2.2,95,1.03,35,71,0,217,-0.8,1,56,256,2,100.0,22,580104,0.02,253,1.57,47,0.0,335,Digne,0,0,-1,1.15,168,53.6,0.15,745,3.0,,40,317256,a,0,154,220.8,20.40,-0.1,192
34,Bertrand Traoré,49,MID,Aston Villa,0,0,0.0,False,0.0,1,0,0,310,0,0,0.0,,Joined Istanbul Basaksehir FK on loan - Expected back 01 Jul,2022-08-22T19:30:06.057056Z,0.0,722,0.0,-1,0,0,0.0,0.0,0,309,0.00,192,0.1,8,0,0.0,0.00,0.0,0.0,717,0.00,0,308,0,709,0.0,0,142,724,0,0.0,0,19742,0.0,286,0.0,304,0.0,246,Traoré,0,0,0,0.0,0,0.0,0.0,687,,,308,3136,u,0,503,0.0,0.00,0.0,721
35,Robin Olsen,39,GKP,Aston Villa,0,1,0.0,False,0.0,1,0,0,22,0,2,-1.0,,,2022-12-22T11:30:06.990947Z,0.0,411,2.3,-1,0,613,0.0,0.0,235,23,0.00,22,1.6,1170,0,2.68,0.00,100.0,3.0,513,0.00,9,23,9,463,-0.5,0,68,156,1,100.0,7,132431,0.0,33,2.32,13,3.45,716,Olsen,0,0,0,0.77,54,6.9,0.38,406,,,23,109609,a,0,143,69.8,6.06,0.0,336
36,Morgan Sanson,43,MID,Aston Villa,0,0,0.0,False,0.0,2,0,0,192,0,0,0.0,,Season-long loan to Strasbourg,2023-01-25T09:48:37.040310Z,0.0,492,0.5,-2,0,0,0.0,0.5,10,229,0.00,123,0.2,213,0,9.0,0.00,0.0,1.0,469,0.00,2,218,0,571,0.0,0,293,448,0,0.0,1,46055,0.0,186,3.6,223,0.0,550,Sanson,0,0,0,0.0,6,0.4,0.0,519,,,226,29851,u,0,347,4.2,0.40,0.0,473
37,John McGinn,51,MID,Aston Villa,0,0,0.3,False,0.13,4,0,0,117,4,14,-0.7,,,2023-01-02T01:30:08.408535Z,0.22,163,7.3,-4,0,66,203.0,148.4,1252,99,1.24,83,0.5,156,0,1.37,3.10,100.0,2.1,149,1.86,37,95,0,115,-0.2,0,104,280,3,100.0,19,164198,0.09,167,1.3,70,0.0,182,McGinn,2,0,1,1.01,160,53.2,0.22,360,4.0,,93,33941,a,0,256,180.8,18.07,0.1,221
38,Kortney Hause,44,DEF,Aston Villa,0,0,0.0,False,0.0,1,0,0,237,0,0,0.0,,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.731214Z,0.0,624,0.0,-1,0,0,0.0,0.0,0,236,0.00,233,0.0,3,0,0.0,0.00,0.0,0.0,614,0.00,0,237,0,589,0.0,0,105,631,0,0.0,0,2906,0.0,218,0.0,234,0.0,483,Hause,0,0,0,0.0,0,0.0,0.0,546,,,237,89,u,0,653,0.0,0.00,0.0,619
39,Tyrone Mings,43,DEF,Aston Villa,0,6,2.0,False,0.04,2,0,0,49,4,19,1.0,,Knock - 75% chance of playing,2023-02-12T22:30:09.087745Z,0.04,226,12.8,-2,2,861,40.0,50.9,1710,86,0.02,31,3.9,9955,0,1.47,0.79,75.0,2.9,280,0.77,55,35,0,305,1.1,1,142,165,5,100.0,28,822525,0.0,57,1.45,100,0.0,552,Mings,2,0,0,1.0,297,40.7,0.26,154,,,69,590598,d,0,81,313.6,27.62,0.5,108
40,Ollie Watkins,71,FWD,Aston Villa,6,8,8.7,False,0.1,4,0,0,10,1,20,7.7,,,2023-01-14T08:00:07.885748Z,0.44,23,12.1,-4,1,15711,724.0,256.5,1718,7,6.47,14,2.7,4485,0,1.62,8.34,100.0,4.1,78,1.87,86,6,0,12,8.2,0,18,57,5,100.0,31,869201,0.34,2,1.52,7,0.0,38,Watkins,5,0,7,1.05,256,136.4,0.26,2,,3.0,6,737562,a,0,103,384.2,29.01,1.2,65
41,Marvelous Nakamba,43,MID,Aston Villa,0,0,0.0,False,0.0,2,0,0,247,0,0,0.0,,Season-long loan to Luton,2023-01-31T23:15:04.679476Z,0.0,616,0.0,-2,0,0,0.0,0.0,0,243,0.00,147,0.1,156,0,0.0,0.00,0.0,0.0,606,0.00,0,238,0,576,0.0,0,297,624,0,0.0,0,30278,0.0,189,0.0,226,0.0,562,Nakamba,0,0,0,0.0,0,0.0,0.0,526,,,241,18713,u,0,413,0.0,0.00,0.0,611
42,Emiliano Buendía Stati,57,MID,Aston Villa,3,7,3.0,False,0.1,3,0,0,79,0,14,2.0,,,,0.35,71,11.2,-3,0,1499,367.0,286.6,1273,54,3.53,81,0.5,1564,0,1.84,5.02,,2.9,65,1.47,64,78,0,51,2.5,0,48,181,4,,26,123570,0.25,38,1.64,33,0.0,91,Buendía,1,0,1,0.99,206,88.9,0.28,98,,,52,112092,a,0,250,234.4,23.18,0.5,179
43,Matty Cash,46,DEF,Aston Villa,0,0,1.0,False,0.07,4,0,0,143,3,13,0.0,,,2023-01-09T01:30:07.164230Z,0.08,235,5.2,-4,0,579,61.0,157.0,1197,30,0.20,36,3.3,1490,0,1.65,1.08,100.0,1.3,137,0.89,24,89,0,259,0.5,0,59,391,1,100.0,22,1558033,0.02,93,1.28,74,0.0,339,Cash,0,0,1,0.98,174,39.4,0.08,257,,,75,196389,a,0,90,176.0,17.05,0.2,230
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,0,2,2.3,False,0.02,1,0,0,83,4,21,1.3,,,2022-07-05T15:30:04.118376Z,0.05,220,11.4,-1,0,474,30.0,64.2,1882,74,0.57,106,0.3,563,0,1.58,0.97,100.0,2.3,253,0.40,50,31,0,339,1.8,0,114,235,5,100.0,33,66377,0.03,51,1.48,118,0.0,497,Konsa,0,0,0,1.0,328,41.5,0.24,126,,,65,66390,a,0,297,319.6,31.01,0.5,103
45,Leon Bailey,44,MID,Aston Villa,4,6,2.0,False,0.17,6,0,0,48,4,18,1.0,3.0,,2022-10-06T13:30:06.901968Z,0.46,59,16.6,-6,2,2977,419.0,295.9,1375,49,4.46,26,3.7,6669,1,1.77,7.06,100.0,3.5,59,2.61,73,68,0,39,1.5,0,272,99,5,100.0,27,2161320,0.29,63,1.73,22,0.0,504,Bailey,3,-1,1,1.18,172,98.0,0.33,157,2.0,,41,993106,a,0,87,264.2,26.38,0.5,155
46,Douglas Luiz Soares de Paulo,48,MID,Aston Villa,2,6,4.0,False,0.1,2,1,0,56,2,17,3.0,2.0,,2023-01-02T01:30:08.503948Z,0.15,76,14.4,-2,1,674,127.0,381.2,1520,34,0.92,88,0.4,726,0,1.54,2.52,100.0,3.3,41,1.63,69,33,0,179,3.5,0,177,121,5,100.0,26,114041,0.05,25,1.5,108,0.0,296,Douglas Luiz,5,0,5,1.01,308,86.7,0.3,57,1.0,,57,87138,a,0,270,359.2,25.37,0.8,78
47,Jacob Ramsey,52,MID,Aston Villa,2,6,2.0,False,0.05,3,0,0,77,4,16,1.0,,,2022-12-20T01:00:07.011748Z,0.14,112,10.8,-3,2,250,201.0,220.6,1310,74,1.31,70,0.6,389,0,1.58,2.05,100.0,2.9,101,0.76,56,63,0,118,1.5,1,97,179,4,100.0,23,275084,0.09,72,1.51,72,0.0,174,Ramsey,3,0,2,1.1,217,69.7,0.27,171,,,75,141201,a,0,227,274.8,21.97,0.4,146
49,Tim Iroegbunam,45,MID,Aston Villa,0,0,0.0,False,0.0,0,0,0,284,0,0,0.0,,Season-long loan to QPR,2022-09-02T11:07:08.174211Z,0.0,684,0.0,0,0,0,0.0,0.0,0,281,0.00,250,0.0,2,0,0.0,0.00,0.0,0.0,678,0.00,0,278,0,660,0.0,0,235,689,0,0.0,0,3955,0.0,243,0.0,271,0.0,428,Iroegbunam,0,0,0,0.0,0,0.0,0.0,625,,,280,1334,u,0,619,0.0,0.00,0.0,681
50,Diego Carlos Santos Silva,47,DEF,Aston Villa,0,0,0.0,False,0.01,3,0,0,140,0,2,0.0,,Achilles injury - Expected back 11 Mar,2022-08-13T15:30:06.470124Z,0.19,422,0.6,-3,0,22,32.0,2.8,180,155,0.36,131,0.2,38,0,1.5,0.38,0.0,1.5,437,0.02,3,156,0,333,0.0,0,49,368,0,0.0,3,96975,0.18,241,0.96,115,0.0,313,Diego Carlos,0,0,0,1.0,17,5.8,0.0,663,,,152,6654,i,0,356,23.0,1.92,0.0,419
51,Anwar El Ghazi,48,MID,Aston Villa,0,0,0.0,False,0.0,2,0,0,307,0,0,0.0,,Transferred to PSV Eindhoven,2022-09-01T08:52:22.652805Z,0.0,718,0.0,-2,0,0,0.0,0.0,0,306,0.00,223,0.0,6,0,0.0,0.00,0.0,0.0,712,0.00,0,305,0,703,0.0,0,171,720,0,0.0,0,13320,0.0,278,0.0,301,0.0,286,El Ghazi,0,0,0,0.0,0,0.0,0.0,675,,,305,2511,u,0,566,0.0,0.00,0.0,717
